#	Country,Other	Cases in the last 7 days	Cases in the preceding 7 days	Weekly case /%/ change	Cases in the last 7 days/1M pop	Deaths in the last 7 days	Deaths in the preceding 7 days	Weekly Death /%/ change	Deaths in the last 7 days/1M pop	Population	Continent
165	China	325	412	-21%	0.2	0	0	0%	0	1,448,205,686	Asia
166	Tanzania	310	527	-41%	5	11	25	-56%	0.2	62,448,728	Africa
167	Rwanda	300	832	-64%	22	8	6	+33%	0.6	13,464,607	Africa
168	Angola	288	1,494	-81%	8	1	7	-86%	0.0	34,497,050	Africa
169	Senegal	270	641	-58%	15	12	19	-37%	0.7	17,448,007	Africa
170	Bahamas	261	444	-41%	654	7	17	-59%	18	399,247	North America
171	Mauritania	260	814	-68%	54	14	26	-46%	3	4,844,679	Africa
172	Caribbean Netherlands	252	538	-53%	9,469	2	0	+200%	75	26,612	North America
173	Guinea	249	117	+113%	18	12	2	+500%	0.9	13,701,179	Africa
174	Yemen	247	434	-43%	8	17	16	+6%	0.6	30,874,517	Asia
175	Burundi	229	399	-43%	18	0	0	0%	0	12,455,734	Africa
176	Antigua and Barbuda	226	696	-68%	2,278	4	5	-20%	40	99,225	North America
177	Ivory Coast	225	519	-57%	8	1	6	-83%	0.0	27,420,708	Africa
178	Eswatini	211	261	-19%	179	3	6	-50%	3	1,179,354	Africa
179	Mayotte	192	591	-68%	678	0	0	0%	0	283,320	Africa
180	Guinea-Bissau	184	375	-51%	90	2	2	0%	1.0	2,042,238	Africa
181	Mali	160	368	-57%	8	4	6	-33%	0.2	21,181,396	Africa
182	Greenland	159	1,177	-86%	2,793	1	1	0%	18	56,927	North America
183	CAR	125	287	-56%	25	0	1	-100%	0	4,963,856	Africa
184	Comoros	112	21	+433%	125	0	1	-100%	0	899,171	Africa
185	Eritrea	112	228	-51%	31	2	5	-60%	0.6	3,624,817	Africa
186	Sint Maarten	111	209	-47%	2,543	2	1	+100%	46	43,654	North America
187	Cabo Verde	108	371	-71%	191	2	6	-67%	4	565,634	Africa
188	Togo	102	178	-43%	12	0	2	-100%	0	8,588,405	Africa
189	Saint Pierre Miquelon	101	194	-48%	17,568	1	0	+100%	174	5,749	North America
190	Chad	82	186	-56%	5	0	5	-100%	0	17,177,837	Africa
191	Burkina Faso	68	97	-30%	3	6	13	-54%	0.3	21,817,822	Africa
192	Anguilla	60	137	-56%	3,943	0	1	-100%	0	15,217	North America
193	Turks and Caicos	60	203	-70%	1,517	1	0	+100%	25	39,554	North America
194	Djibouti	59	140	-58%	58	0	0	0%	0	1,010,947	Africa
195	Nicaragua	59	46	+28%	9	1	1	0%	0.1	6,750,455	North America
196	Saint Kitts and Nevis	57	165	-65%	1,059	5	5	0%	93	53,800	North America
197	South Sudan	54	106	-49%	5	0	0	0%	0	11,403,365	Africa
198	Congo	52	168	-69%	9	0	0	0%	0	5,734,845	Africa
199	Benin	48	141	-66%	4	0	0	0%	0	12,629,899	Africa
200	Equatorial Guinea	43	112	-62%	29	0	3	-100%	0	1,476,499	Africa
201	Tajikistan	39	128	-70%	4	0	0	0%	0	9,879,581	Asia
202	Gambia	38	270	-86%	15	17	0	+1%	7	2,524,990	Africa
203	Niger	37	105	-65%	1	4	2	+100%	0.2	25,603,825	Africa
204	British Virgin Islands	30	207	-86%	982	2	2	0%	65	30,553	North America
205	St. Vincent Grenadines	30	60	-50%	269	6	3	+100%	54	111,503	North America
206	Sao Tome and Principe	27	53	-49%	120	2	0	+200%	9	225,657	Africa
207	Liberia	22	46	-52%	4	0	2	-100%	0	5,247,409	Africa
208	Lesotho	11	177	-94%	5	1	3	-67%	0.5	2,169,383	Africa
209	Tonga	8	0	+800%	74	0	0	0%	0	107,609	Australia/Oceania
210	Sierra Leone	6	32	-81%	0.7	0	0	0%	0	8,235,955	Africa
211	Samoa	3	15	-80%	15	0	0	0%	0	200,521	Australia/Oceania
212	Falkland Islands	0	3	-100%	0	0	0	0%	0	3,642	South America
213	Montserrat	0	8	-100%	0	0	0	0%	0	4,997	North America
214	St. Barth	0	153	-100%	0	0	0	0%	0	9,925	North America
215	Saint Martin	0	296	-100%	0	0	1	-100%	0	39,719	North America
