Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Uganda,27-02-2022,"163,250",+34,"3,588 ",+3,"99,990",+11,"59,672",56,"3,392",75,"2,457,240","51,052","48,132,380 ",Africa
Ghana,27-02-2022,"159,124",,"1,442 ",,"157,133",,549,1,"4,950",45,"2,305,405","71,713","32,147,436 ",Africa
Namibia,27-02-2022,"157,210", +17,"4,007 ",,"152,694",+14,509,2,"60,069","1,531","953,850","364,462","2,617,148 ",Africa
El Salvador,27-02-2022,"155,968",+441,"4,068 ",+3,"131,656","+7,786","20,244",153,"23,847",622,"1,693,464","258,921","6,540,466 ",North America
Laos,27-02-2022,"142,609",+135,621 ,,"7,660",,"134,328",,"19,141",83,"1,000,342","134,265","7,450,526 ",Asia
Cambodia,27-02-2022,"129,920",+372,"3,032 ",,"123,353",+476,"3,535",,"7,597",177,"2,859,086","167,174","17,102,442 ",Asia
Rwanda,27-02-2022,"129,489",+4,"1,457 ",,"45,522",,"82,510",1,"9,603",108,"4,832,169","358,364","13,483,964 ",Africa
Iceland,27-02-2022," 128,745","+5,372",61 ,,"75,685",,"52,999",2,"373,266",177,"1,742,976","5,053,349","344,915 ",Europe
Jamaica,27-02-2022,"127,961",+45,"2,813 ",+2,"76,703",+281,"48,445",25,"42,903",943,"848,470","284,474","2,982,596 ",North America
Trinidad and Tobago,27-02-2022,"127,404",+470,"3,622 ",+5,"102,045","+1,969","21,737",18,"90,550","2,574","627,706","446,130","1,407,002 ",North America
Guadeloupe,27-02-2022,"126,642",,837 ,,"2,250",,"123,555",19,"316,418","2,091","938,039","2,343,709","400,237 ",North America
Cameroon,27-02-2022,"119,240",,"1,923 ",,"117,089",,228,13,"4,314",70,"1,751,774","63,378","27,640,233 ",Africa
Martinique,27-02-2022,"112,901",,876 ,,104,,"111,921",16,"301,244","2,337","678,821","1,811,237","374,783 ",North America
China,27-02-2022,"109,092",+239,"4,636 ",,"101,868",+82,"2,588",19,76,3,"160,000,000","111,163","1,439,323,776 ",Asia
Angola,27-02-2022,"98,701",,"1,899 ",,"96,622",,180,,"2,856",55,"1,424,011","41,205","34,558,792 ",Africa
New Zealand,27-02-2022,"86,138","+15,016",56 ,,"18,114",+167,"67,968",,"17,220",11,"6,688,455","1,337,129","5,002,100 ",Australia/Oceania
DRC,27-02-2022,"85,999",,"1,335 ",,"50,930",,"33,734",,914,14,"846,704","9,001","94,069,263 ",Africa
Senegal,27-02-2022,"85,676",+10,"1,960 ",,"83,622",+12,94,2,"4,903",112,"1,013,487","57,998","17,474,620 ",Africa
Malawi,27-02-2022," 85,328",+14,"2,615 ",+2,"75,578",+64,"7,135",67,"4,277",131,"546,116","27,376","19,948,581 ",Africa
Ivory Coast,27-02-2022,"81,467",,792 ,,"79,816",,859,,"2,967",29,"1,414,287","51,503","27,460,090 ",Africa
Suriname,27-02-2022,"78,092",+22,"1,316 ",+1,"49,354",+1,"27,422",3,"131,171","2,210","228,157","383,235","595,345 ",South America
French Guiana,27-02-2022,"77,652",,391 ,,"11,254",," 66,007",6,"249,282","1,255","591,966","1,900,354","311,503 ",South America
Malta,27-02-2022,"71,235",+56,604 ,+2,"69,505",+65,"1,126",3,"160,623","1,362","1,211,456","2,731,624","443,493 ",Europe
Eswatini,27-02-2022,"69,130",+5,"1,390 ",,"67,643",+25,97,11,"58,581","1,178","477,146","404,335","1,180,076 ",Africa
French Polynesia,27-02-2022,"65,583",,638 ,,N/A,N/A,N/A,7,"231,252","2,250",,,"283,600 ",Australia/Oceania
Fiji,27-02-2022,"63,928",+4,833 ,,"61,890",,"1,205",,"70,466",918,"496,968","547,796","907,214 ",Australia/Oceania
Madagascar,27-02-2022,"63,659",,"1,366 ",,"58,677",," 3,616",61,"2,205",47,"398,434","13,801","28,869,939 ",Africa
Guyana,27-02-2022,"62,891",,"1,220 ",,"60,929",,742,10,"79,323","1,539","538,535","679,244","792,845 ",South America
